File,Zone,DayType,LTE800,GSM900,LTE1800,UMTS2100,LTE2600,NR3500,E_total,Dominant_Band
P001,Sheshi_Karl_Topia,Weekend,0.4721,0.3032,0.26146625,0.150401429,0.3677375,0.084493902,0.740380934,LTE800
P002,Sheshi_Karl_Topia,Weekend,0.978466667,0.396725,0.2619375,0.215972857,0.16206875,0.098963171,1.12521254,LTE800
P003,Sheshi_Karl_Topia,Weekend,0.681366667,0.37585,0.26797125,0.156482857,0.20271875,0.101920732,0.867929697,LTE800
P004,Sheshi_Karl_Topia,Weekend,1.139633333,0.40135,0.211975,0.163088571,0.2925375,0.112952195,1.276602376,LTE800
P005,Sheshi_Karl_Topia,Weekend,0.356333333,0.341625,0.1654875,0.262628571,0.09033625,0.105455366,0.599435098,LTE800
P006,Sheshi_Karl_Topia,Weekend,0.611133333,0.33085,0.20165875,0.180301429,0.14004625,0.11089561,0.766832002,LTE800
P007,Sheshi_Karl_Topia,Weekend,1.361066667,0.503425,0.5453125,0.369721429,0.2607125,0.10057561,1.618049851,LTE800
P008,Sheshi_Karl_Topia,Weekend,0.940633333,0.387,0.2200875,0.166398571,0.19455875,0.107958049,1.077123534,LTE800
P009,Sheshi_Karl_Topia,Weekend,0.634533333,0.45125,0.1647825,0.114428571,0.1689575,0.10355878,0.828116744,LTE800
P010,Sheshi_Karl_Topia,Weekend,0.7424,0.2793,0.31777875,0.114262857,0.18685125,0.097700244,0.887504542,LTE800
P011,Sheshi_Karl_Topia,Weekend,0.365166667,0.2177,0.14800125,0.124304286,0.22470125,0.089948049,0.526001153,LTE800
P012,Sheshi_Karl_Topia,Weekend,0.668466667,0.3159,0.2960625,0.233764286,0.3541775,0.147023415,0.91432862,LTE800
P013,Sheshi_Karl_Topia,Weekend,0.583333333,0.391275,0.47377375,0.222712857,0.1961375,0.139701707,0.908527915,LTE800
P014,Sheshi_Karl_Topia,Weekend,0.4847,0.232925,0.3268875,0.139287143,0.176545,0.110183171,0.677313044,LTE800
P015,Sheshi_Karl_Topia,Weekend,0.431866667,0.43895,0.36581875,0.202112857,0.20305875,0.113075122,0.779665136,GSM900
P016,Sheshi_Karl_Topia,Weekend,1.361633333,0.31085,0.37383125,0.292607143,0.250715,0.13322878,1.502214938,LTE800
P017,Sheshi_Karl_Topia,Weekend,0.837433333,0.552825,0.2348375,0.236661429,0.285575,0.128997561,1.102842148,LTE800
P018,Sheshi_Karl_Topia,Weekend,0.911633333,0.591275,0.3711875,0.278708571,0.30445,0.113964634,1.225486772,LTE800
P019,Sheshi_Karl_Topia,Weekend,1.030333333,0.322825,0.306725,0.268985714,0.3124375,0.09979122,1.199921571,LTE800
P020,Sheshi_Karl_Topia,Weekend,0.771466667,0.469425,0.3975375,0.262871429,0.2488225,0.104754878,1.056193316,LTE800
P021,Sheshi_Karl_Topia,Weekday,0.9324,0.456875,0.5564375,0.251058571,0.36108625,0.131740732,1.264316623,LTE800
P022,Sheshi_Karl_Topia,Weekday,0.769333333,1.00435,0.2876,0.31444,0.2974875,0.128709268,1.373769945,GSM900
P023,Sheshi_Karl_Topia,Weekday,0.7525,0.5093,0.2703,0.209885714,0.209275,0.151126098,1.004685008,LTE800
P024,Sheshi_Karl_Topia,Weekday,0.4209,0.517925,0.2342175,0.226002857,0.2421875,0.136285122,0.792821962,GSM900
P025,Sheshi_Karl_Topia,Weekday,0.5643,0.647125,0.3521375,0.348028571,0.29515,0.150459024,1.045026986,GSM900
P026,Sheshi_Karl_Topia,Weekday,0.6529,0.32245,0.354625,0.300162857,0.25005,0.09818439,0.90458511,LTE800
P027,Sheshi_Karl_Topia,Weekday,0.5246,0.297125,0.30874125,0.254165714,0.23275,0.09856,0.766352681,LTE800
P028,Sheshi_Karl_Topia,Weekday,0.794766667,0.52475,0.2977375,0.198067143,0.345625,0.107529756,1.079775031,LTE800
P029,Sheshi_Karl_Topia,Weekday,0.553266667,0.1720925,0.2234625,0.141437143,0.21251,0.119226829,0.681934985,LTE800
P030,Sheshi_Karl_Topia,Weekday,1.066466667,0.7638,0.381875,0.295914286,0.29483125,0.175761463,1.439427987,LTE800
P031,Sheshi_Karl_Topia,Weekday,1.192,0.37085,0.4047125,0.306585714,0.3786625,0.201147317,1.414222848,LTE800
P032,Sheshi_Karl_Topia,Weekday,1.009366667,0.420625,0.4501,0.244028571,0.27384875,0.221458537,1.257745377,LTE800
P033,Sheshi_Karl_Topia,Weekday,0.7365,0.51465,0.612925,0.2445,0.32781875,0.104241951,1.166655774,LTE800
P034,Sheshi_Karl_Topia,Weekday,0.457733333,0.5391,0.36215,0.320442857,0.47515,0.133289512,0.988695341,GSM900
P035,Sheshi_Karl_Topia,Weekday,1.1038,0.6613,0.742225,0.443814286,0.778375,0.166613415,1.742753245,LTE800
P036,Sheshi_Karl_Topia,Weekday,0.812233333,0.543575,0.6296125,0.489771429,0.4281625,0.197839268,1.346828951,LTE800
P037,Sheshi_Karl_Topia,Weekday,1.059333333,0.568025,0.2087,0.182297143,0.3419,0.128236341,1.286455448,LTE800
